,label
0,NEUTROPHIL
1,NEUTROPHIL
2,NEUTROPHIL
3,NEUTROPHIL
4,NEUTROPHIL
5,NEUTROPHIL
6,NEUTROPHIL
7,NEUTROPHIL
8,NEUTROPHIL
9,NEUTROPHIL
10,NEUTROPHIL
11,NEUTROPHIL
12,NEUTROPHIL
13,NEUTROPHIL
14,NEUTROPHIL
15,NEUTROPHIL
16,NEUTROPHIL
17,NEUTROPHIL
18,NEUTROPHIL
19,NEUTROPHIL
20,NEUTROPHIL
21,NEUTROPHIL
22,NEUTROPHIL
23,NEUTROPHIL
24,NEUTROPHIL
25,NEUTROPHIL
26,NEUTROPHIL
27,NEUTROPHIL
28,NEUTROPHIL
29,NEUTROPHIL
30,NEUTROPHIL
31,NEUTROPHIL
32,NEUTROPHIL
33,NEUTROPHIL
34,NEUTROPHIL
35,NEUTROPHIL
36,NEUTROPHIL
37,NEUTROPHIL
38,NEUTROPHIL
39,NEUTROPHIL
40,NEUTROPHIL
41,NEUTROPHIL
42,NEUTROPHIL
43,NEUTROPHIL
44,NEUTROPHIL
45,NEUTROPHIL
46,NEUTROPHIL
47,NEUTROPHIL
48,NEUTROPHIL
49,NEUTROPHIL
50,NEUTROPHIL
51,NEUTROPHIL
52,NEUTROPHIL
53,NEUTROPHIL
54,NEUTROPHIL
55,NEUTROPHIL
56,NEUTROPHIL
57,NEUTROPHIL
58,NEUTROPHIL
59,NEUTROPHIL
60,NEUTROPHIL
61,NEUTROPHIL
62,NEUTROPHIL
63,NEUTROPHIL
64,NEUTROPHIL
65,NEUTROPHIL
66,NEUTROPHIL
67,NEUTROPHIL
68,NEUTROPHIL
69,NEUTROPHIL
70,NEUTROPHIL
71,NEUTROPHIL
72,NEUTROPHIL
73,NEUTROPHIL
74,NEUTROPHIL
75,NEUTROPHIL
76,NEUTROPHIL
77,NEUTROPHIL
78,NEUTROPHIL
79,NEUTROPHIL
80,NEUTROPHIL
81,NEUTROPHIL
82,NEUTROPHIL
83,NEUTROPHIL
84,NEUTROPHIL
85,NEUTROPHIL
86,NEUTROPHIL
87,NEUTROPHIL
88,NEUTROPHIL
89,NEUTROPHIL
90,NEUTROPHIL
91,NEUTROPHIL
92,NEUTROPHIL
93,NEUTROPHIL
94,NEUTROPHIL
95,NEUTROPHIL
96,NEUTROPHIL
97,NEUTROPHIL
98,NEUTROPHIL
99,NEUTROPHIL
100,NEUTROPHIL
101,NEUTROPHIL
102,NEUTROPHIL
103,NEUTROPHIL
104,NEUTROPHIL
105,NEUTROPHIL
106,NEUTROPHIL
107,NEUTROPHIL
108,NEUTROPHIL
109,NEUTROPHIL
110,NEUTROPHIL
111,NEUTROPHIL
112,NEUTROPHIL
113,NEUTROPHIL
114,NEUTROPHIL
115,NEUTROPHIL
116,NEUTROPHIL
117,NEUTROPHIL
118,NEUTROPHIL
119,NEUTROPHIL
120,NEUTROPHIL
121,NEUTROPHIL
122,NEUTROPHIL
123,NEUTROPHIL
124,NEUTROPHIL
125,NEUTROPHIL
126,NEUTROPHIL
127,NEUTROPHIL
128,NEUTROPHIL
129,NEUTROPHIL
130,NEUTROPHIL
131,NEUTROPHIL
132,NEUTROPHIL
133,NEUTROPHIL
134,NEUTROPHIL
135,NEUTROPHIL
136,NEUTROPHIL
137,NEUTROPHIL
138,NEUTROPHIL
139,NEUTROPHIL
140,NEUTROPHIL
141,NEUTROPHIL
142,NEUTROPHIL
143,NEUTROPHIL
144,NEUTROPHIL
145,NEUTROPHIL
146,NEUTROPHIL
147,NEUTROPHIL
148,NEUTROPHIL
149,NEUTROPHIL
150,NEUTROPHIL
151,NEUTROPHIL
152,NEUTROPHIL
153,NEUTROPHIL
154,NEUTROPHIL
155,NEUTROPHIL
156,NEUTROPHIL
157,NEUTROPHIL
158,NEUTROPHIL
159,NEUTROPHIL
160,NEUTROPHIL
161,NEUTROPHIL
162,NEUTROPHIL
163,NEUTROPHIL
164,NEUTROPHIL
165,NEUTROPHIL
166,NEUTROPHIL
167,NEUTROPHIL
168,NEUTROPHIL
169,NEUTROPHIL
170,NEUTROPHIL
171,NEUTROPHIL
172,NEUTROPHIL
173,NEUTROPHIL
174,NEUTROPHIL
175,NEUTROPHIL
176,NEUTROPHIL
177,NEUTROPHIL
178,NEUTROPHIL
179,NEUTROPHIL
180,NEUTROPHIL
181,NEUTROPHIL
182,NEUTROPHIL
183,NEUTROPHIL
184,NEUTROPHIL
185,NEUTROPHIL
186,NEUTROPHIL
187,NEUTROPHIL
188,NEUTROPHIL
189,NEUTROPHIL
190,NEUTROPHIL
191,NEUTROPHIL
192,NEUTROPHIL
193,NEUTROPHIL
194,NEUTROPHIL
195,NEUTROPHIL
196,NEUTROPHIL
197,NEUTROPHIL
198,NEUTROPHIL
199,NEUTROPHIL
200,NEUTROPHIL
201,NEUTROPHIL
202,NEUTROPHIL
203,NEUTROPHIL
204,NEUTROPHIL
205,NEUTROPHIL
206,NEUTROPHIL
207,NEUTROPHIL
208,NEUTROPHIL
209,NEUTROPHIL
210,NEUTROPHIL
211,NEUTROPHIL
212,NEUTROPHIL
213,NEUTROPHIL
214,NEUTROPHIL
215,NEUTROPHIL
216,NEUTROPHIL
217,NEUTROPHIL
218,NEUTROPHIL
219,NEUTROPHIL
220,NEUTROPHIL
221,NEUTROPHIL
222,NEUTROPHIL
223,NEUTROPHIL
224,BASOPHIL
225,BASOPHIL
226,BASOPHIL
227,BASOPHIL
228,BASOPHIL
229,BASOPHIL
230,BASOPHIL
231,BASOPHIL
232,BASOPHIL
233,BASOPHIL
234,BASOPHIL
235,BASOPHIL
236,BASOPHIL
237,BASOPHIL
238,BASOPHIL
239,BASOPHIL
240,BASOPHIL
241,BASOPHIL
242,BASOPHIL
243,BASOPHIL
244,BASOPHIL
245,BASOPHIL
246,BASOPHIL
247,BASOPHIL
248,BASOPHIL
249,BASOPHIL
250,BASOPHIL
251,BASOPHIL
252,EOSINOPHIL
253,EOSINOPHIL
254,EOSINOPHIL
255,EOSINOPHIL
256,EOSINOPHIL
257,EOSINOPHIL
258,EOSINOPHIL
259,EOSINOPHIL
260,EOSINOPHIL
261,EOSINOPHIL
262,EOSINOPHIL
263,EOSINOPHIL
264,EOSINOPHIL
265,EOSINOPHIL
266,EOSINOPHIL
267,EOSINOPHIL
268,EOSINOPHIL
269,EOSINOPHIL
270,EOSINOPHIL
271,EOSINOPHIL
272,EOSINOPHIL
273,EOSINOPHIL
274,EOSINOPHIL
275,EOSINOPHIL
276,EOSINOPHIL
277,EOSINOPHIL
278,EOSINOPHIL
279,EOSINOPHIL
280,NEUTROPHIL
281,NEUTROPHIL
282,NEUTROPHIL
283,NEUTROPHIL
284,NEUTROPHIL
285,NEUTROPHIL
286,NEUTROPHIL
287,NEUTROPHIL
288,NEUTROPHIL
289,NEUTROPHIL
290,NEUTROPHIL
291,NEUTROPHIL
292,NEUTROPHIL
293,NEUTROPHIL
294,NEUTROPHIL
295,NEUTROPHIL
296,NEUTROPHIL
297,NEUTROPHIL
298,NEUTROPHIL
299,NEUTROPHIL
300,NEUTROPHIL
301,NEUTROPHIL
302,NEUTROPHIL
303,NEUTROPHIL
304,NEUTROPHIL
305,NEUTROPHIL
306,NEUTROPHIL
307,NEUTROPHIL
308,NEUTROPHIL
309,NEUTROPHIL
310,NEUTROPHIL
311,NEUTROPHIL
312,NEUTROPHIL
313,NEUTROPHIL
314,NEUTROPHIL
315,NEUTROPHIL
316,NEUTROPHIL
317,NEUTROPHIL
318,NEUTROPHIL
319,NEUTROPHIL
320,NEUTROPHIL
321,NEUTROPHIL
322,NEUTROPHIL
323,NEUTROPHIL
324,NEUTROPHIL
325,NEUTROPHIL
326,NEUTROPHIL
327,NEUTROPHIL
328,NEUTROPHIL
329,NEUTROPHIL
330,NEUTROPHIL
